"name","total_sale","running_total"
"Aaron Bergman","886","886"
"Aaron Hawkins","1745","2631"
"Aaron Smayling","3051","5682"
"Adam Bellavance","7756","13438"
"Adam Hart","3250","16688"
"Adam Shillingsburg","3255","19943"
"Adrian Barton","14474","34417"
"Adrian Hane","1736","36153"
"Adrian Shami","59","36212"
"Aimee Bixby","967","37179"
"Alan Barnes","1114","38293"
"Alan Dominguez","6107","44400"
"Alan Haines","1587","45987"
"Alan Hwang","4805","50792"
"Alan Schoenberger","4261","55053"
"Alan Shonely","585","55638"
"Alejandro Ballentine","915","56553"
"Alejandro Grove","2583","59136"
"Alejandro Savely","3214","62350"
"Aleksandra Gannaway","368","62718"
"Alex Avila","5564","68282"
"Alex Grayson","661","68943"
"Alex Russell","1056","69999"
"Alice McCarthy","814","70813"
"Allen Armold","1056","71869"
"Allen Goldenen","201","72070"
"Allen Rosenblatt","2236","74306"
"Alyssa Crouse","926","75232"
"Alyssa Tate","1172","76404"
"Amy Cox","5528","81932"
"Amy Hunt","2495","84427"
"Andrew Allen","1791","86218"
"Andrew Gjertsen","2357","88575"
"Andrew Roberts","265","88840"
"Andy Gerbode","1455","90295"
"Andy Reiter","6608","96903"
"Andy Yotov","497","97400"
"Anemone Ratner","88","97488"
"Angele Hood","739","98227"
"Ann Blume","1516","99743"
"Ann Chong","2538","102281"
"Ann Steele","833","103114"
"Anna Andreadi","5087","108201"
"Anna Chung","657","108858"
"Anna Gayman","3489","112347"
"Anna Haberlin","7888","120235"
"Anne McFarland","5664","125899"
"Anne Pryor","1639","127538"
"Annie Thurman","3832","131370"
"Annie Zypern","1622","132992"
"Anthony Garverick","171","133163"
"Anthony Jacobs","4867","138030"
"Anthony Johnson","4501","142531"
"Anthony O'Donnell","161","142692"
"Anthony Rawles","4523","147215"
"Anthony Witt","649","147864"
"Arianne Irving","4376","152240"
"Art Ferguson","2053","154293"
"Art Foster","862","155155"
"Arthur Gainer","4511","159666"
"Arthur Prichep","3324","162990"
"Arthur Wiediger","2853","165843"
"Ashley Jarboe","1839","167682"
"Astrea Jones","629","168311"
"Barbara Fisher","600","168911"
"Barry Blumstein","744","169655"
"Barry Franz","1334","170989"
"Barry Franzosisch","2889","173878"
"Barry Gonzalez","2799","176677"
"Barry Pond","983","177660"
"Barry Weirich","386","178046"
"Bart Folk","273","178319"
"Bart Pistole","2442","180761"
"Bart Watters","4750","185511"
"Becky Castell","2934","188445"
"Becky Martin","11790","200235"
"Becky Pak","1698","201933"
"Ben Ferrer","5908","207841"
"Ben Peterman","3676","211517"
"Ben Wallace","1738","213255"
"Benjamin Farhat","1585","214840"
"Benjamin Patterson","1181","216021"
"Benjamin Venier","1523","217544"
"Berenike Kampe","659","218203"
"Beth Fritzler","792","218995"
"Beth Paige","2475","221470"
"Beth Thompson","2568","224038"
"Bill Donatelli","5719","229757"
"Bill Eplett","4205","233962"
"Bill Overfelt","2683","236645"
"Bill Shonely","10502","247147"
"Bill Stewart","3888","251035"
"Bill Tyler","2187","253222"
"Bobby Elias","2261","255483"
"Bobby Odegard","131","255614"
"Bobby Trafton","604","256218"
"Brad Eason","1728","257946"
"Brad Norvell","265","258211"
"Brad Thomas","415","258626"
"Bradley Drucker","4411","263037"
"Bradley Nguyen","1459","264496"
"Bradley Talbott","2684","267180"
"Brenda Bowman","6766","273946"
"Brendan Dodson","321","274267"
"Brendan Murry","808","275075"
"Brendan Sweed","2455","277530"
"Brian Dahlen","3288","280818"
"Brian DeCherney","1538","282356"
"Brian Derr","583","282939"
"Brian Moss","7294","290233"
"Brian Stugart","3288","293521"
"Brian Thompson","3197","296718"
"Brooke Gillingham","1874","298592"
"Brosina Hoffman","6255","304847"
"Bruce Degenhardt","1527","306374"
"Bruce Geld","1006","307380"
"Bruce Stewart","2562","309942"
"Bryan Davis","658","310600"
"Bryan Mills","1339","311939"
"Bryan Spruell","949","312888"
"Candace McMahon","1674","314562"
"Cari Sayre","1279","315841"
"Cari Schnelling","538","316379"
"Carl Jackson","17","316396"
"Carl Ludwig","1262","317658"
"Carl Weiss","1137","318795"
"Carlos Daly","2034","320829"
"Carlos Meador","565","321394"
"Carlos Soltero","3037","324431"
"Carol Adams","3790","328221"
"Carol Darley","640","328861"
"Carol Triggs","3242","332103"
"Caroline Jumper","11165","343268"
"Cassandra Brandow","6076","349344"
"Catherine Glotzbach","904","350248"
"Cathy Armstrong","1680","351928"
"Cathy Hwang","1537","353465"
"Cathy Prescott","5402","358867"
"Chad Cunningham","1771","360638"
"Chad McGuire","1662","362300"
"Chad Sievert","885","363185"
"Charles Crestani","2472","365657"
"Charles McCrossin","2533","368190"
"Charles Sheldon","844","369034"
"Charlotte Melton","1475","370509"
"Chloris Kastensmidt","3155","373664"
"Chris Cortes","3913","377577"
"Chris McAfee","2306","379883"
"Chris Selesnick","2754","382637"
"Christina Anderson","2648","385285"
"Christina DeMoss","1206","386491"
"Christina VanderZanden","2831","389322"
"Christine Abelman","1422","390744"
"Christine Kargatis","2945","393689"
"Christine Phan","5888","399577"
"Christine Sundaresam","3202","402779"
"Christopher Conant","12129","414908"
"Christopher Martinez","8954","423862"
"Christopher Schild","3652","427514"
"Christy Brittain","1949","429463"
"Chuck Clark","2870","432333"
"Chuck Magee","288","432621"
"Chuck Sachs","551","433172"
"Cindy Chapman","1659","434831"
