"Name","Age","id","Total Sales","Total Quantity","Total Profit","Category","Products"
"Alex Avila",66,"AA-10315","5563.560","30","-362.8825","Furniture,Office Supplies,Technology","Acco Bankers Clasps  5 3/4-Long,Avery Binding System Hidden Tab Executive Style Index Sets,Belkin 7 Outlet SurgeMaster II,Easy-staple paper,Fellowes Advanced Computer Series Surge Protectors,GBC DocuBind 200 Manual Binding Machine,High Speed Automatic Electric Letter Opener,Master Caster Door Stop  Large Neon Orange,Polycom VVX 310 VoIP phone,Tenex Personal Project File with Scoop Front Design  Black,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  1/Pack"
"Allen Armold",22,"AA-10375","1056.390","41","277.3824","Furniture,Office Supplies,Technology","ACCOHIDE 3-Ring Binder  Blue  1,ACCOHIDE Binder by Acco,Avery Premier Heavy-Duty Binder with Round Locking Rings,Avoid Verbal Orders Carbonless Minifold Book,Clear Mylar Reinforcing Strips,Coloredge Poster Frame,Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver ,Logitech diNovo Edge Keyboard,Newell 321,Portfile Personal File Boxes,Sterilite Officeware Hinged File Box,Xerox 1895,Xerox 191,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)"
"Andrew Allen",50,"AA-10480","1790.512","36","435.8274","Furniture,Office Supplies,Technology","Carina 42Hx23 3/4W Media Storage Unit,ClearSounds CSC500 Amplified Spirit Phone Corded phone,DAX Wood Document Frame,Hon 4060 Series Tables,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,Newell 335,Rediform Wirebound Phone Memo Message Book  11 x 5-3/4,Strathmore Photo Frame Cards,Tennsco 6- and 18-Compartment Lockers,Xerox 1950,Xerox 1967,Xerox 1993"
"Anna Andreadi",32,"AA-10645","5086.935","64","857.8033","Furniture,Office Supplies,Technology","Atlantic Metals Mobile 5-Shelf Bookcases  Custom Colors,Cisco IP Phone 7961G VoIP phone - Dark gray,Coloredge Poster Frame,Easy-staple paper,Eldon Shelf Savers Cubes and Bins,Fellowes Neat Ideas Storage Cubes,Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back,Hon Olson Stacker Chairs,Inter-Office Recycled Envelopes  Brown Kraft  Button-String 10 x 13   100/Box,Linden 10 Round Wall Clock  Black,Master Caster Door Stop  Brown,Nontoxic Chalk,Padded Folding Chairs  Black  4/Carton,Panasonic Kx-TS550,Poly Designer Cover & Back,Tennsco Stur-D-Stor Boltless Shelving  5 Shelves  24 Deep  Sand,Ultra Door Push Plate,Xerox 1996"
"Aaron Bergman",66,"AB-10015","886.156","13","129.3465","Furniture,Office Supplies,Technology","Akro Stacking Bins,Carina 42Hx23 3/4W Media Storage Unit,Global Push Button Managers Chair  Indigo,Newell 330,Samsung Convoy 3,Sauder Facets Collection Library  Sky Alder Finish"
"Adam Bellavance",25,"AB-10060","7755.620","56","2054.5885","Furniture,Office Supplies,Technology","Acco Hanging Data Binders,Acme Forged Steel Scissors with Black Enamel Handles,Ampad Gold Fibre Wirebound Steno Books  6 x 9  Gregg Ruled,Easy-staple paper,Eureka The Boss Lite 10-Amp Upright Vacuum  Blue,GBC DocuBind P400 Electric Binding System,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Hon 5100 Series Wood Tables,Howard Miller 14-1/2 Diameter Chrome Round Wall Clock,Ibico Covers for Plastic or Wire Binding Elements,Logitech G600 MMO Gaming Mouse,Sabrent 4-Port USB 2.0 Hub,SanDisk Cruzer 64 GB USB Flash Drive,Strathmore Photo Mount Cards,Wirebound Message Books  Four 2 3/4 x 5 Forms per Page  600 Sets per Book,Xerox 1881,Xerox 231"
"Adrian Barton",63,"AB-10105","14473.571","73","5444.8055","Furniture,Office Supplies,Technology","3M Polarizing Task Lamp with Clamp Arm  Light Gray,Akro Stacking Bins,Avery 487,Avery Recycled Flexi-View Covers for Binding Systems,Belkin 19 Center-Weighted Shelf  Gray,Bevis Boat-Shaped Conference Table,Canon PC170 Desktop Personal Copier,Fellowes Recycled Storage Drawers,GBC Ibimaster 500 Manual ProClick Binding System,GBC Imprintable Covers,Gould Plastics 9-Pocket Panel Bin  18-3/8w x 5-1/4d x 20-1/2h  Black,Ibico Ibimaster 300 Manual Binding System,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,LG G3,Lumber Crayons,Plastic Binding Combs,Polycom VoiceStation 500 Conference phone,Samsung Galaxy Note 2,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Tenex Chairmats For Use with Hard Floors"
"Aimee Bixby",65,"AB-10150","966.710","37","313.6597","Furniture,Office Supplies,Technology","Acme Elite Stainless Steel Scissors,Acme Forged Steel Scissors with Black Enamel Handles,Boston School Pro Electric Pencil Sharpener  1670,GBC Wire Binding Combs,Logitech Wireless Gaming Headset G930,Newell 345,Telescoping Adjustable Floor Lamp,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  25/Pack,Xerox 1891,Xerox 1901,Xerox 1952,Xerox 1994"
"Alan Barnes",22,"AB-10165","1113.838","48","220.8130","Furniture,Office Supplies,Technology","Belkin Standard 104 key USB Keyboard,Flat Face Poster Frame,GBC Velobind Prepunched Cover Sets  Regency Series,GBC Wire Binding Combs,Imation Bio 8GB USB Flash Drive Imation Corp,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,Sanford Prismacolor Professional Thick Lead Art Pencils  36-Color Set,Staples in misc. colors,Tennsco Regal Shelving Units,Xerox 1893,Xerox 196,Xerox 1977,Zebra Zazzle Fluorescent Highlighters,Zipper Ring Binder Pockets"
"Alejandro Ballentine",34,"AB-10255","914.532","39","264.5675","Furniture,Office Supplies,Technology","Acme Elite Stainless Steel Scissors,Advantus Rolling Storage Box,Advantus SlideClip Paper Clips,Brother DCP1000 Digital 3 in 1 Multifunction Machine,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Crayola Colored Pencils,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,DXL Angle-View Binders with Locking Rings by Samsill,Memorex Mini Travel Drive 4 GB USB 2.0 Flash Drive,Message Book  Wirebound  Four 5 1/2 X 4 Forms/Pg.  200 Dupl. Sets/Book,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  25/Pack,Xerox 1885,Xerox 1912,Xerox 215"
